;František Beneš;Josef Frk;Milan Smola;Jiří Furbach;Miroslav Jeřábek;Ladislav Kříž;Václav Smíšek;Josef Blahovec;Jan Staněk;Josef Bednařík;Jiří Maroušek;Jana Slepičková;Helena Čumrová;Petra Hošková;Irena Sládková;Karel Dolanský;Marcela Rolníková;Vlastimil Koreš;Jaroslav Mráz 1;Jiří Mráz;Jana Svítivá;Václav Štětina;Vladimír Martínek;Alois Staněk;Oldřich Hamtil;Jana Lukešová;Jiří Maršák;Zdeněk Šleis;Marie Taliánová;Vladimír Zatloukal;Jaroslava Brabcová;Renáta Fürbachová;Hana Hošková;Zdena Houzimová;Marie Jeřábková;Václav Frnoch;Miroslav Kotous;Jarmila Vaňatová;Pavel Frnoch;Josef Narovec;Silvie Přílepková;Silvie Havlátková;Ludmila Maroušková;Jaroslava Holečková;Petra Lusková;Helena Přílepková;Jan Houzim;Petr Jirotka;Jiří Liška;Dana Bednaříková;Jan Franc;Jakub Komrska;Jiří Kovář;Zdeňka Kůsová;Jana Mindlová;Jindřich Hrabák;Jan Lazar;Gabriela Smolová;Jana Dejmková;Hubert Faber;Marie Frnochová;Milada Kochtová;Dana Kolafová;Jaromír Louda;Jiří Pilný;Miloslava Pravdová;Kateřina Čumrová;Jindřich Jindřich;Zdeňka Kotousová;Jana Mottlová;Jaroslav Mráz 2;Yveta Sládková;Jana Smíšková;Marek Švehla;Věra Faberová;Alena Škopková;Gertruda Ungerová;Václav Dejmek;Iveta Frková;Lenka Frnochová;Tomáš Kohlberger;Jaroslav Neužil;Jiří Tadeáš Pelech;Hana Svítivá;Jaroslav Frk;Jiří Krajánek;František Kunc;Petr Lusk;Jan Kolafa;Štěpán Hais;Lenka Mrázová;Martina Šleisová;Oto Švehla;Luboš Šrámek;Petra Mrázová;Pavel Kuhn
Jana Svítivá;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;2.0;0;2.0;3.0;0;3.0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0
Václav Štětina;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;1.0;0;1.0;2.0;3.0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0
Vladimír Martínek;2.0;2.0;2.0;2.0;2.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alois Staněk;2.0;2.0;2.0;2.0;2.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oldřich Hamtil;0;0;0;0;0;0;0;2.0;2.0;1.0;1.0;2.0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;1.0;0;2.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jana Lukešová;0;0;0;0;0;0;0;2.0;2.0;0;1.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jiří Maršák;0;0;0;0;0;0;0;2.0;2.0;1.0;2.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zdeněk Šleis;0;0;0;0;0;0;0;2.0;2.0;1.0;1.0;2.0;0;0;0;0;0;2.0;0;0;0;0;0;0;2.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marie Taliánová;0;0;0;0;0;0;0;2.0;2.0;1.0;2.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vladimír Zatloukal;0;0;0;0;0;0;0;2.0;1.0;1.0;1.0;1.0;0;0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;0;0;0;0;0;2.0;1.0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0
